epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5513,0.87643,5.58424,1.19054,0.0625,0.5,0.18094,0.16284,0.39234,6.62302,0.84571,0,0,0
2,3.10039,1.01319,4.99182,1.37174,0.0625,0.5,0.18094,0.16284,0.38791,6.50823,0.83732,1.63949e-05,1.63949e-05,1.63949e-05
3,3.75427,0.91833,5.69263,1.34974,0.0625,0.5,0.18094,0.16284,0.39287,6.3236,0.82877,3.22398e-05,3.22398e-05,3.22398e-05
4,4.35414,0.82505,5.53744,1.31472,0.05882,0.5,0.18,0.162,0.3907,6.21039,0.8297,4.75345e-05,4.75345e-05,4.75345e-05
5,4.82376,0.78429,5.4432,1.24857,0.05882,0.5,0.13875,0.12488,0.39156,6.01211,0.82568,6.22791e-05,6.22791e-05,6.22791e-05
6,5.49068,0.87733,5.37731,1.3595,0.125,1,0.16567,0.15399,0.38854,5.78783,0.81713,7.64736e-05,7.64736e-05,7.64736e-05
7,6.10569,0.96965,4.6872,1.39758,0.50812,1,0.82833,0.7455,0.40853,4.10714,0.77904,9.0118e-05,9.0118e-05,9.0118e-05
8,6.91157,0.46665,3.67827,1.03878,0.51858,1,0.82833,0.7455,0.39593,3.97973,0.77547,0.000103212,0.000103212,0.000103212
9,7.90146,0.52991,3.31079,0.9644,1,0.86441,0.995,0.92195,0.35104,3.34152,0.72609,0.000115756,0.000115756,0.000115756
10,9.51168,0.46277,2.10199,0.96813,0.7284,1,0.995,0.84914,0.51556,4.33561,0.90181,0.000127751,0.000127751,0.000127751
11,10.5666,0.47555,1.82378,0.95153,0.65421,1,0.995,0.71667,0.85753,3.75023,1.14619,0.000139195,0.000139195,0.000139195
12,11.3382,0.44283,2.04833,0.93383,0.982,1,0.995,0.895,0.62948,3.90456,0.8965,0.000150088,0.000150088,0.000150088
13,12.0402,0.50534,1.83442,0.95792,0.96928,0.5,0.82833,0.65018,0.76007,3.4989,1.13238,0.000160432,0.000160432,0.000160432
14,12.7653,0.46237,1.78779,0.91874,0.94154,0.5,0.66167,0.52951,0.97749,4.42828,1.30177,0.000170226,0.000170226,0.000170226
15,13.4369,0.42636,1.58487,0.8961,1,0.97145,0.995,0.61219,1.13399,3.76398,1.50211,0.000179469,0.000179469,0.000179469
16,14.1879,0.42657,1.46579,0.8758,0.64594,1,0.82833,0.59841,0.99352,3.78481,1.50356,0.000188163,0.000188163,0.000188163
17,14.9031,0.40185,1.34919,0.89593,0.3939,1,0.695,0.35344,1.38097,5.36218,1.49732,0.000196306,0.000196306,0.000196306
18,15.546,0.47481,1.70916,1.00312,0.3939,1,0.695,0.35344,1.38097,5.36218,1.49732,0.000203899,0.000203899,0.000203899
19,16.2615,0.62113,1.60776,1.06076,0.64934,1,0.82833,0.6031,1.54737,4.66365,1.62341,0.000210942,0.000210942,0.000210942
20,16.9736,0.44352,1.69286,1.0348,0.64934,1,0.82833,0.6031,1.54737,4.66365,1.62341,0.000217435,0.000217435,0.000217435
21,17.6685,0.69267,1.97605,1.09308,0.63427,1,0.82833,0.59949,1.28698,3.1791,1.46491,0.000223378,0.000223378,0.000223378
22,18.3365,0.46816,1.19379,0.9811,0.63427,1,0.82833,0.59949,1.28698,3.1791,1.46491,0.000228771,0.000228771,0.000228771
23,19.0264,0.53304,1.09837,0.94919,0.63632,1,0.82833,0.58794,1.25644,2.61757,1.55138,0.000233613,0.000233613,0.000233613
24,19.7351,0.55063,1.26017,0.94385,0.63632,1,0.82833,0.58794,1.25644,2.61757,1.55138,0.000237906,0.000237906,0.000237906
25,20.8062,0.42876,1.10898,0.93963,0.65328,1,0.82833,0.58554,1.29332,2.52838,1.73819,0.000241648,0.000241648,0.000241648
26,21.772,0.44612,1.03207,0.9532,0.65328,1,0.82833,0.58554,1.29332,2.52838,1.73819,0.000244841,0.000244841,0.000244841
27,22.6783,0.42133,1.02713,0.91773,0.65198,1,0.82833,0.6168,1.11081,3.10342,1.48647,0.000247483,0.000247483,0.000247483
28,23.3654,0.42431,1.21011,0.91952,0.65198,1,0.82833,0.6168,1.11081,3.10342,1.48647,0.000249575,0.000249575,0.000249575
29,24.0665,0.44032,0.94794,0.91127,0.65456,1,0.82833,0.61609,1.14634,2.70193,1.4068,0.000251117,0.000251117,0.000251117
30,24.7593,0.43992,1.01483,0.89762,0.65456,1,0.82833,0.61609,1.14634,2.70193,1.4068,0.000252109,0.000252109,0.000252109
31,25.4452,0.52565,0.92522,0.90445,0.6526,1,0.82833,0.59716,0.87325,2.85547,1.14595,0.00025255,0.00025255,0.00025255
32,26.1018,0.40403,0.89782,0.94435,0.6526,1,0.82833,0.59716,0.87325,2.85547,1.14595,0.000252442,0.000252442,0.000252442
33,26.8263,0.50655,1.02905,0.96258,0.64093,0.92278,0.82833,0.62599,0.63045,2.28642,0.88709,0.000251784,0.000251784,0.000251784
34,27.5135,0.38513,0.84096,0.85237,0.64093,0.92278,0.82833,0.62599,0.63045,2.28642,0.88709,0.000250575,0.000250575,0.000250575
35,28.1933,0.49485,0.82358,0.90142,0.61682,1,0.82833,0.7455,0.60667,2.29624,0.83752,0.000248816,0.000248816,0.000248816
36,28.8515,0.4413,0.8577,0.95498,0.61682,1,0.82833,0.7455,0.60667,2.29624,0.83752,0.000246508,0.000246508,0.000246508
37,29.8258,0.44223,0.83316,0.92107,0.64495,1,0.82833,0.79602,0.51464,2.5274,0.83125,0.000243649,0.000243649,0.000243649
38,31.1629,0.50609,0.76578,0.96061,0.64495,1,0.82833,0.79602,0.51464,2.5274,0.83125,0.00024024,0.00024024,0.00024024
39,31.8826,0.39718,0.66379,0.86277,0.56122,1,0.82833,0.79627,0.47361,2.71558,0.85834,0.000236281,0.000236281,0.000236281
40,32.6174,0.53049,0.96689,0.98515,0.56122,1,0.82833,0.79627,0.47361,2.71558,0.85834,0.000231771,0.000231771,0.000231771
41,33.6832,0.38802,0.68966,0.97485,0.49165,1,0.995,0.94616,0.52582,3.52738,0.88931,0.000226712,0.000226712,0.000226712
42,34.965,0.461,0.63191,0.93924,0.49165,1,0.995,0.94616,0.52582,3.52738,0.88931,0.000221103,0.000221103,0.000221103
43,35.7105,0.41855,0.69379,0.87126,0.33655,1,0.995,0.995,0.52303,4.14297,0.89494,0.000214943,0.000214943,0.000214943
44,36.5088,0.43359,0.77677,0.96133,0.33655,1,0.995,0.995,0.52303,4.14297,0.89494,0.000208233,0.000208233,0.000208233
45,37.2715,0.42469,0.76375,0.97754,0.4394,1,0.995,0.995,0.53345,3.5426,0.86691,0.000200974,0.000200974,0.000200974
46,38.2754,0.45692,0.69904,0.92221,0.4394,1,0.995,0.995,0.53345,3.5426,0.86691,0.000193164,0.000193164,0.000193164
47,39.0487,0.38586,0.63446,0.89904,0.51398,1,0.995,0.94606,0.46234,2.91161,0.87255,0.000184804,0.000184804,0.000184804
48,39.7113,0.35522,0.6909,0.96243,0.51398,1,0.995,0.94606,0.46234,2.91161,0.87255,0.000175894,0.000175894,0.000175894
49,41.4339,0.34939,0.72359,0.91147,0.5733,1,0.82833,0.79611,0.48592,2.69416,0.85697,0.000166433,0.000166433,0.000166433
50,42.1174,0.36327,0.68773,0.91793,0.5733,1,0.82833,0.79611,0.48592,2.69416,0.85697,0.000156423,0.000156423,0.000156423
51,43.7558,0.56604,1.27971,1.03744,0.64288,1,0.82833,0.79602,0.41883,1.82894,0.82658,0.000145862,0.000145862,0.000145862
52,44.5511,0.34749,1.01412,0.8406,0.64288,1,0.82833,0.79602,0.41883,1.82894,0.82658,0.000134752,0.000134752,0.000134752
53,45.4468,0.46204,1.11429,0.94455,0.64288,1,0.82833,0.79602,0.41883,1.82894,0.82658,0.000123091,0.000123091,0.000123091
54,46.5559,0.32258,1.0289,0.79751,0.65294,1,0.82833,0.82833,0.31807,1.24857,0.71493,0.000110881,0.000110881,0.000110881
55,47.5632,0.29048,0.93851,0.87754,0.65294,1,0.82833,0.82833,0.31807,1.24857,0.71493,9.81196e-05,9.81196e-05,9.81196e-05
56,48.3588,0.39491,0.97378,0.9202,0.65294,1,0.82833,0.82833,0.31807,1.24857,0.71493,8.48086e-05,8.48086e-05,8.48086e-05
57,49.1562,0.35194,1.03287,0.87694,1,0.91813,0.995,0.995,0.26378,1.10817,0.66289,7.09475e-05,7.09475e-05,7.09475e-05
58,49.8955,0.34975,1.05479,0.91239,1,0.91813,0.995,0.995,0.26378,1.10817,0.66289,5.65363e-05,5.65363e-05,5.65363e-05
59,50.8459,0.28225,0.87179,0.90566,1,0.91813,0.995,0.995,0.26378,1.10817,0.66289,4.1575e-05,4.1575e-05,4.1575e-05
60,51.7732,0.30186,1.01749,0.89565,1,0.90855,0.995,0.995,0.262,0.97256,0.66838,2.60635e-05,2.60635e-05,2.60635e-05
